date,Active Cases,Deaths,Recoveries,Inactives removed
19-Aug,7433,450,"15,054","1,056"
20-Aug,5130,463,"17,661",982
21-Aug,4677,472,"18,268",990
22-Aug,4555,485,"18,567",995
23-Aug,4293,502,"19,041",976
24-Aug,3972,517,"19,411","1,016"
25-Aug,3878,525,"19,622","1,028"
26-Aug,3717,549,"19,908","1,031"
27-Aug,3513,571,"20,174","1,064"
28-Aug,3343,582,"20,441","1,082"
29-Aug,3198,600,"20,664","1,085"
30-Aug,3046,611,"20,924","1,089"
31-Aug,2820,652,"21,158","1,116"
1-Sep,2729,657,"21,311","1,122"
2-Sep,2621,663,"21,498","1,141"
3-Sep,2497,678,"21,720","1,154"
4-Sep,2252,737,"21,978","1,169"
5-Sep,2147,748,"22,138","1,174"
6-Sep,2061,753,"22,275","1,190"
7-Sep,1954,762,"22,411","1,195"
8-Sep,1865,770,"22,532","1,207"
9-Sep,1797,781,"22,671","1,216"
10-Sep,1659,788,"22,844","1,222"
11-Sep,1514,797,"23,025","1,229"
12-Sep,1430,803,"23,137","1,236"
13-Sep,1340,809,"23,270","1,231"
14-Sep,1257,816,"23,386","1,232"
15-Sep,1220,816,"23,460","1,241"
16-Sep,1172,824,"23,534","1,249"
17-Sep,1127,832,"23,600","1,254"
18-Sep,1094,837,"23,663","1,267"
19-Sep,1000,843,"23,770","1,272"
20-Sep,903,849,"23,870","1,276"
21-Sep,813,851,"23,965","1,283"
22-Sep,768,854,"24,026","1,294"
23-Sep,682,859,"24,111","1,322"
24-Sep,654,861,"24,137","1,331"
25-Sep,595,869,"24,209","1,327"
26-Sep,553,870,"24,257","1,336"
27-Sep,506,872,"24,317","1,345"
28-Sep,455,875,"24,360","1,354"
29-Sep,420,882,"24,396","1,365"
30-Sep,391,886,"24,427","1,374"
1-Oct,369,888,"24,457","1,382"
2-Oct,337,890,"24,497","1,389"
3-Oct,312,893,"24,522","1,394"
4-Oct,304,894,"24,538","1,400"
5-Oct,286,894,"24,564","1,405"
6-Oct,269,895,"24,588","1,422"
7-Oct,248,897,"24,607","1,430"
8-Oct,248,897,"24,620","1,441"
9-Oct,243,897,"24,641","1,448"
10-Oct,236,897,"24,656","1,455"
11-Oct,239,898,"24,668","1,459"
12-Oct,239,898,"24,683","1,466"
13-Oct,241,899,"24,703","1,473"
14-Oct,249,904,"24,709","1,479"
15-Oct,250,904,"24,722","1,486"
16-Oct,227,904,"24,749","1,491"
17-Oct,226,904,"24,758","1,495"
18-Oct,219,904,"24,768","1,500"
19-Oct,217,905,"24,772","1,505"
20-Oct,229,905,"24,786","1,510"
21-Oct,215,905,"24,808","1,516"
22-Oct,220,905,"24,820","1,521"
23-Oct,223,905,"24,828","1,528"
24-Oct,222,905,"24,838","1,534"
25-Oct,229,905,"24,845","1,541"
26-Oct,214,905,"24,863","1,545"
27-Oct,211,905,"24,868","1,557"
28-Oct,202,907,"24,880","1,566"
29-Oct,202,907,"24,893","1,568"
30-Oct,201,907,"24,898","1,576"
31-Oct,190,907,"24,978","1,515"
1-Nov,175,907,"24,990","1,523"
2-Nov,156,907,"25,010","1,529"
3-Nov,134,907,"25,038","1,531"
4-Nov,116,907,"25,060","1,539"
5-Nov,107,907,"25,071","1,549"
6-Nov,106,907,"25,077","1,555"
7-Nov,94,907,"25,089","1,562"
8-Nov,89,907,"25,097","1,565"
9-Nov,85,907,"25,100","1,576"
10-Nov,76,907,"25,102","1,592"
11-Nov,76,907,"25,103","1,599"
12-Nov,76,907,"25,108","1,607"
13-Nov,76,907,"25,114","1,606"
14-Nov,76,907,"25,119","1,609"
15-Nov,76,907,"25,125","1,620"
16-Nov,86,907,"25,134","1,623"
17-Nov,86,907,"25,140","1,627"
18-Nov,94,907,"25,141","1,635"
19-Nov,94,907,"25,142","1,641"
20-Nov,97,907,"25,143","1,645"
21-Nov,90,907,"25,150","1,659"
22-Nov,90,907,"25,152","1,672"
23-Nov,93,907,"25,156","1,679"
24-Nov,99,907,"25,157","1,685"
25-Nov,101,907,"25,163","1,685"
26-Nov,100,907,"25,170","1,687"
27-Nov,88,907,"25,186","1,693"
28-Nov,77,907,"25,200","1,701"
29-Nov,75,907,"25,204","1,706"
30-Nov,65,908,"25,213","1,717"
1-Dec,57,908,"25,222","1,725"
2-Dec,52,908,"25,231","1,732"
3-Dec,52,908,"25,236","1,744"
4-Dec,47,908,"25,245","1,749"
5-Dec,45,908,"25,252","1,751"
6-Dec,46,908,"25,255","1,756"
7-Dec,46,908,"25,258","1,760"
8-Dec,49,908,"25,263","1,767"
9-Dec,46,908,"25,269","1,770"
10-Dec,49,908,"25,275","1,769"
11-Dec,49,908,"25,278","1,777"
12-Dec,54,908,"25,282","1,781"
13-Dec,53,908,"25,286","1,783"
14-Dec,48,908,"25,295","1,788"
